	case	comparison	SNF: FDA & CGC
205120	PROS10448-1115156	ACH-000828	0.997996213704325
205047	PROS10448-1115156	ACH-000677	0.9979962675167638
204964	PROS10448-1115156	ACH-000521	0.9979964044324361
205036	PROS10448-1115156	ACH-000662	0.9979964150901732
204766	PROS10448-1115156	ACH-000035	0.9979964647165144
205013	PROS10448-1115156	ACH-000616	0.9979965600169732
205135	PROS10448-1115156	ACH-000859	0.9979967227860017
205102	PROS10448-1115156	ACH-000792	0.9979968923824035
204848	PROS10448-1115156	ACH-000259	0.9979974504797267
204868	PROS10448-1115156	ACH-000318	0.997997816638462
204920	PROS10448-1115156	ACH-000428	0.9979981005339874
205111	PROS10448-1115156	ACH-000812	0.997998198923781
205178	PROS10448-1115156	ACH-000957	0.9979982256543519
204942	PROS10448-1115156	ACH-000472	0.9979985987603714
205006	PROS10448-1115156	ACH-000603	0.9979986319801613
205152	PROS10448-1115156	ACH-000888	0.9979987548622475
204838	PROS10448-1115156	ACH-000242	0.9979990225368257
204821	PROS10448-1115156	ACH-000196	0.9979990412099077
204953	PROS10448-1115156	ACH-000491	0.9979993189040142
205021	PROS10448-1115156	ACH-000628	0.9979996722286874
205154	PROS10448-1115156	ACH-000892	0.9979998540773116
204800	PROS10448-1115156	ACH-000144	0.9980005602861685
204899	PROS10448-1115156	ACH-000383	0.9980008507750759
205195	PROS10448-1115156	ACH-001024	0.9980011510434657
204978	PROS10448-1115156	ACH-000548	0.99800137185477
205159	PROS10448-1115156	ACH-000903	0.9980015554494541
204992	PROS10448-1115156	ACH-000572	0.998002015965965
205161	PROS10448-1115156	ACH-000910	0.9980020854765225
205108	PROS10448-1115156	ACH-000809	0.9980021910727646
204852	PROS10448-1115156	ACH-000270	0.9980022757118034
205126	PROS10448-1115156	ACH-000846	0.9980026990036864
204927	PROS10448-1115156	ACH-000438	0.9980029536228707
205145	PROS10448-1115156	ACH-000873	0.9980031911783791
205097	PROS10448-1115156	ACH-000784	0.99800329814492
205165	PROS10448-1115156	ACH-000917	0.9980041396106881
205153	PROS10448-1115156	ACH-000890	0.9980041563586772
204985	PROS10448-1115156	ACH-000562	0.9980044089721896
205169	PROS10448-1115156	ACH-000927	0.9980050123122103
205066	PROS10448-1115156	ACH-000718	0.9980054705369634
205087	PROS10448-1115156	ACH-000766	0.9980062543232477
205173	PROS10448-1115156	ACH-000945	0.9980064062703708
205084	PROS10448-1115156	ACH-000755	0.9980064363141237
205034	PROS10448-1115156	ACH-000655	0.9980064918735296
205024	PROS10448-1115156	ACH-000637	0.998006718699502
205060	PROS10448-1115156	ACH-000704	0.9980068139170817
205188	PROS10448-1115156	ACH-000986	0.9980069036812694
205026	PROS10448-1115156	ACH-000639	0.9980075365821311
205155	PROS10448-1115156	ACH-000893	0.9980081190341392
205149	PROS10448-1115156	ACH-000882	0.9980092803696239
205187	PROS10448-1115156	ACH-000985	0.9980111969574712
205127	PROS10448-1115156	ACH-000847	0.9980121373497636
