	case	comparison	SNF: FDA & CGC
205085	PROS12319B-SU2C-06115121	ACH-000756	0.9979157076732887
205037	PROS12319B-SU2C-06115121	ACH-000663	0.9979161776809929
205039	PROS12319B-SU2C-06115121	ACH-000666	0.9979162389571375
204790	PROS12319B-SU2C-06115121	ACH-000115	0.9979164494990649
204858	PROS12319B-SU2C-06115121	ACH-000291	0.9979165140943549
204846	PROS12319B-SU2C-06115121	ACH-000257	0.9979165686962727
204826	PROS12319B-SU2C-06115121	ACH-000211	0.9979172492418986
204777	PROS12319B-SU2C-06115121	ACH-000087	0.9979173132360741
205170	PROS12319B-SU2C-06115121	ACH-000929	0.9979176466551255
205091	PROS12319B-SU2C-06115121	ACH-000775	0.9979177082691645
205007	PROS12319B-SU2C-06115121	ACH-000605	0.9979177574825826
204943	PROS12319B-SU2C-06115121	ACH-000475	0.9979182512495899
205079	PROS12319B-SU2C-06115121	ACH-000744	0.9979183047375472
205101	PROS12319B-SU2C-06115121	ACH-000790	0.9979188295700044
205147	PROS12319B-SU2C-06115121	ACH-000880	0.997919271545943
204918	PROS12319B-SU2C-06115121	ACH-000425	0.9979193947773679
205175	PROS12319B-SU2C-06115121	ACH-000949	0.9979203837774191
205053	PROS12319B-SU2C-06115121	ACH-000689	0.997920413588514
204897	PROS12319B-SU2C-06115121	ACH-000379	0.997920682679432
204902	PROS12319B-SU2C-06115121	ACH-000391	0.9979207312447177
205163	PROS12319B-SU2C-06115121	ACH-000915	0.9979214694829708
205016	PROS12319B-SU2C-06115121	ACH-000621	0.9979218032227263
204808	PROS12319B-SU2C-06115121	ACH-000161	0.9979224706313455
205061	PROS12319B-SU2C-06115121	ACH-000706	0.997922914530781
205040	PROS12319B-SU2C-06115121	ACH-000667	0.9979229571575894
205044	PROS12319B-SU2C-06115121	ACH-000672	0.997923013334986
205055	PROS12319B-SU2C-06115121	ACH-000693	0.9979234930856931
205030	PROS12319B-SU2C-06115121	ACH-000648	0.9979237267420379
204864	PROS12319B-SU2C-06115121	ACH-000305	0.9979238633555408
204923	PROS12319B-SU2C-06115121	ACH-000431	0.9979241383072788
204837	PROS12319B-SU2C-06115121	ACH-000238	0.9979242557734168
205148	PROS12319B-SU2C-06115121	ACH-000881	0.9979249870826171
205171	PROS12319B-SU2C-06115121	ACH-000930	0.9979252076514056
204781	PROS12319B-SU2C-06115121	ACH-000099	0.9979252687765501
204998	PROS12319B-SU2C-06115121	ACH-000585	0.9979254819006061
205133	PROS12319B-SU2C-06115121	ACH-000857	0.9979264731241178
205181	PROS12319B-SU2C-06115121	ACH-000966	0.9979265726178578
205207	PROS12319B-SU2C-06115121	ACH-001233	0.9979266035537633
204814	PROS12319B-SU2C-06115121	ACH-000181	0.9979270444037404
205172	PROS12319B-SU2C-06115121	ACH-000940	0.9979270817305667
205191	PROS12319B-SU2C-06115121	ACH-000998	0.9979272524250782
204811	PROS12319B-SU2C-06115121	ACH-000174	0.9979273277233844
204907	PROS12319B-SU2C-06115121	ACH-000399	0.9979273421032532
205176	PROS12319B-SU2C-06115121	ACH-000951	0.997927561383456
205204	PROS12319B-SU2C-06115121	ACH-001151	0.9979277931254004
205182	PROS12319B-SU2C-06115121	ACH-000968	0.9979278860848818
204803	PROS12319B-SU2C-06115121	ACH-000148	0.9979283321334903
204981	PROS12319B-SU2C-06115121	ACH-000558	0.9979284281550578
205132	PROS12319B-SU2C-06115121	ACH-000855	0.9979286229047173
205190	PROS12319B-SU2C-06115121	ACH-000991	0.9979286895197155
205107	PROS12319B-SU2C-06115121	ACH-000803	0.9979289265623276
205028	PROS12319B-SU2C-06115121	ACH-000643	0.9979292034179029
205116	PROS12319B-SU2C-06115121	ACH-000824	0.9979294453290387
204788	PROS12319B-SU2C-06115121	ACH-000111	0.9979301005594587
204925	PROS12319B-SU2C-06115121	ACH-000434	0.9979302818728771
